nm1420322	Spiros Grintzos	\N	\N	writer	tt0288713,tt0375403
nm1420323	Daniele Grippa	\N	\N	composer	tt0369263
nm1420325	Alan Griswold	\N	\N	production_designer	tt0375896
nm1420326	Gieorgij Griwcow	\N	\N	special_effects	tt0046568
nm1420327	Mary Ellen Gross	\N	\N	actress	tt0375862
nm1420328	Christina Gruppuso	\N	\N	director,producer	tt0375513
nm1420330	Amanda Grussaute	\N	\N	actress	tt1904981
nm1420331	Maike Gräfe	\N	\N	art_department	tt0375615
nm1420332	Christiane Grémillon	\N	\N	producer,miscellaneous	tt0207968,tt0208273,tt0058369
nm1420333	Brigitta Gsell	\N	\N	actress	tt0375862
nm1420335	Daniel Guariglia	\N	\N	camera_department	tt0374852
nm1420337	Virginie Guerrero	\N	\N	make_up_department	tt0319879
nm1420338	Gastón G. Guevara	\N	\N	cinematographer,writer,editor	tt0375522,tt4768572,tt6063254
nm1420339	Tewfik Guiga	\N	\N	actor	tt0075241
nm1420340	Nicolás Guillén Landrián	\N	2003	director,writer	tt0376117,tt0375732,tt0375667,tt0376012
nm1420342	Jusuf Gulevski	\N	\N	actor	tt0179910,tt0110423,tt0856011,tt4086132
nm1420343	Mariana Gultco	\N	\N	set_decorator	tt0214769
nm1420344	Xiaoxiao Guo	\N	\N	writer	tt0338581
nm1420345	Michal Gurbiel	\N	\N	art_department	tt0376319
nm1420346	Sabine Gutberlet	\N	\N	actress,art_department	tt0473011,tt1538470,tt0097384,tt0976258
nm1420347	Eloy Gutiérrez	\N	\N	editorial_department	tt0279765,tt1228915
nm1420349	Rolf Guttesen	\N	\N		tt0375351
nm1420351	Elysabeth Guyon	\N	\N	art_department,costume_designer	tt0461404,tt0127899
nm1420352	José Luis Guzmán Alcalá	\N	\N	miscellaneous	tt0214769
nm1420353	Krisztina Gyurics	\N	\N	actress	tt0080411
nm1420354	Denis Gómez	1978	\N	actor	tt0319769,tt0302447,tt3331528,tt2087680
nm1420355	Eugeniusz Górka	\N	\N	art_department	tt0376319
nm1420356	Mieczyslaw Górkiewicz	1925	2001	actor	tt0071633,tt0073824,tt0376340
nm1420357	Habachi	\N	\N	actor	tt0075241
nm1420358	Mokhtar Hachicha	\N	\N	actor	tt0329076
nm1420360	Mariya Handzhieva	\N	\N	editor	tt0403998,tt2403001,tt1438481,tt1063675
nm1420361	Hafeeza	\N	\N	actress	tt0179507
nm1420363	Sean Hageraats	\N	\N	art_director,editorial_department,production_designer	tt0366393,tt0437257,tt0465666,tt0437041
nm1420364	Ekkehard Hahn	\N	\N	actor	tt6177252,tt0057836,tt0376310,tt0057658
nm1420366	Thomas Edward Hale	\N	\N	director,cinematographer,editor	tt1065289,tt1315894,tt3403442,tt1723664
nm1420368	Jae-hie Ham	\N	\N	actor	tt0375873
nm1420369	Kenkichi Hamahata	\N	\N	actor	tt1923793,tt0220189,tt4773344,tt0070761
nm1420370	Nils Hamelin	\N	\N	assistant_director	tt1565958,tt3132714,tt0293155,tt0260198
nm1420371	Katie Hammers	\N	\N	actress	tt0375689
nm1420372	Tanya Hancheroff	\N	\N	soundtrack,actress,music_department	tt1490785,tt2231251,tt0284946,tt1381767
nm1420373	Eddie Handschak	\N	\N	camera_department,editorial_department	tt0402022,tt0434409,tt1401152,tt1371111
nm1420374	Lauro Hanke	\N	\N	actor	tt0139822
nm1420375	Mark Hannell	\N	\N	production_manager,miscellaneous,producer	tt1854004,tt0196269,tt0401546,tt6831118
nm1420376	Urban Hansen	1908	1986		tt0376302
nm1420377	Alex Hardcastle	1972	\N	director,producer,music_department	tt1695989,tt0386676,tt1266020,tt3228420
nm1420378	Sylvie Hardtke	\N	\N	actress	tt0072244
nm1420379	Marion Harkins	\N	\N	actress	tt0375748
nm1420380	Ryan Harlin	\N	\N	director,writer,editor	tt0375715,tt1224393,tt1805299,tt4493080
nm1420382	Travis Harper	\N	\N	actor	tt1639445,tt2207960,tt1954839,tt0758745
nm1420383	Jami Harrelson	\N	\N	actor,assistant_director	tt0376137
nm1420384	Lou Harris	\N	\N	actor,miscellaneous	tt0070902,tt0183159
nm1420385	Patti Harrison	\N	\N	make_up_department	tt0375612,tt1249367
nm1420386	Foster Hart	\N	\N	miscellaneous	tt0205873,tt0416315,tt0304229
nm1420387	Leoni Hartard	\N	\N		tt0451227,tt0340258
nm1420389	Ariana Harwicz	\N	\N	writer,director,producer	tt0780014,tt0375767
nm1420390	Anne Haselhorst	\N	\N	art_department,production_designer,art_director	tt0362618,tt0385891,tt0396737,tt0386528
nm1420391	Clara Haskel	\N	\N	actress	tt0375575
nm1420392	Ronn Hastings	\N	\N	art_department	tt0387037,tt0374277,tt0367587,tt0335034
nm1420393	Efi Hatzifoti	\N	\N	actress	tt1538324,tt1415249,tt0270964,tt6276826
nm1420394	Nathalie Hauwelle	\N	\N	actress	tt4466872,tt0374067,tt1820407,tt0765106
nm1420395	Ken-Ichiro Hayashi	\N	\N	writer,producer	tt1058560,tt0376034
nm1420396	Michelle Hebbron	\N	\N	actress	tt0340258
nm1420398	Saucedo Hector	\N	\N	miscellaneous	tt0046344
nm1420399	Niall Heery	\N	\N	writer,director	tt0403572,tt3134422,tt0970168,tt0488138
nm1420400	Béla Hegedus	\N	\N	actor	tt0375755
nm1420401	César Heinrich	\N	\N	actor,assistant_director	tt0444746,tt0417328,tt0381800,tt0815737
nm1420402	Zbigniew Hellebrand	1922	2004	actor	tt0049622,tt0074993,tt0081799
nm1420404	Marlen Henckel	\N	\N	actress	tt1427047,tt0195707,tt0072244
nm1420406	Gabi Hengel	\N	\N	actress	tt0258827,tt0298762,tt0896680
nm1420407	Dawn Henkle	\N	\N	actress	tt0343788
nm1420410	Ryan E. Heppe	1974	\N	producer,writer,editor	tt0497978,tt0484372,tt0810396,tt0756679
nm1420411	Jules Hermano	\N	\N	composer	tt0374396
nm1420413	Nolan A. Herndon	1918	2007		tt0375814
nm1420414	Nieves Herrero	1957	\N	director,writer,actress	tt0383763,tt0815737,tt0383787,tt0383754
nm1420415	Tom Herskowitz	\N	\N	actor	tt0375284
nm1420416	Sandy Heslop	\N	\N	visual_effects,animation_department,actor	tt1877832,tt3659388,tt1617661,tt0831387
nm1420417	Megan Hess	\N	\N	producer,camera_department,director	tt4968996,tt2363319,tt0489212,tt0389894
nm1420418	Ursula Hey	\N	\N	costume_designer	tt0049488,tt0187526,tt0047290
nm1420419	Chloe Hibbert-Waters	\N	\N	actress	tt0363378
nm1420420	Yeskel Hicks	\N	\N	casting_department	tt0205873
nm1420421	Dennis Jay Higgins	1949	\N	actor	tt0072559
